ID,AÑO,EDAD,SEXO,NACIONALIDAD,ESTADO CIVIL,DEPTO_HECHO,MUNIC_HECHO,BARRIO_HECHO,DIR_HECHO,ZONA_HECHO,CONDICION VICTIMA,TIPOVEHICULO,SERVICIO,CLASE ACCIDENTE,Dir_Concatenada,localizacion,punto,lat,long,alt
4867,NS,4.0,FEMENINO,COLOMBIA ,SIN INFORMACION,VALLE DEL CAUCA,SANTIAGO DE CALI,SIN DATO,   CARRRE A 5 NORTE  CON CALLE   52 N,URBANA,PASAJERO,BUSETA,PÚBLICO,CHOQUE CON OTRO VEHÍCULO,"   CARRRE A 5 NORTE  CON CALLE   52 N, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
4292,2009,46.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,LA ARBOLEDA,  CARRERA 1 OESTE   CON CALLE 1- 107,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"  CARRERA 1 OESTE   CON CALLE 1- 107, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
6444,2010,63.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,FLORESTA,  CARRERA 15  CON CALLE 34,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO,"  CARRERA 15  CON CALLE 34, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
559,2007,20.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,CIUDAD MODELO,  CRA 39A  CAALE 32A,URBANA,PASAJERO,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"  CRA 39A  CAALE 32A, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
695,2007,22.0,MASCULINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SIN INFORMACION, AUTOPISTA SIMON BOLIVAR,URBANA,CONDUCTOR,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHÍCULO," AUTOPISTA SIMON BOLIVAR, Cali, Valle del Cauca","Calle 70, Alfonso López I, Comuna 7, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760006, Colombia","(3.4645726, -76.4838255, 0.0)",3.4645726,-76.4838255,0.0
7288,2010,16.0,MASCULINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,CENTENARIO, AV 4 N  CON CALLE  6 NORTE,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO," AV 4 N  CON CALLE  6 NORTE, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
13814,2013,48.0,MASCULINO,COLOMBIA ,CASADO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,VIPASA, AVENIDA 3 NORTE CON CALLE 44,URBANA,CONDUCTOR,AUTOMÓVIL,PARTICULAR,CHOQUE CON OTRO VEHÍCULO," AVENIDA 3 NORTE CON CALLE 44, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
405,2007,48.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,7 DE AGOSTO, C 71 D 15,URBANA,CONDUCTOR,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHÍCULO," C 71 D 15, Cali, Valle del Cauca","Calle 71, Villa Blanca, Comuna 13, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760020, Colombia","(3.4313129, -76.4931, 0.0)",3.4313129,-76.4931,0.0
13832,2013,36.0,FEMENINO,COLOMBIA ,CASADO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SIN INFORMACION, CALLE 22 CON CARRERA 8 ,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE ," CALLE 22 CON CARRERA 8 , Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
11970,2012,27.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,SIN DATO, CALLE 25 CARRERA 13Y14,URBANA,MOTOCICLISTA ,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO," CALLE 25 CARRERA 13Y14, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
10092,2011,35.0,MASCULINO,COLOMBIA ,,VALLE DEL CAUCA,SANTIAGO DE CALI,EL INGENIO, CALLE 25 CRA93 Y 92,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO," CALLE 25 CRA93 Y 92, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
13110,2013,68.0,FEMENINO,COLOMBIA ,VIUDO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,MARIANO RAMOS, CALLE 25 ENTRE CRAS 49 Y 50,URBANA,PASAJERO,MOTOCICLETA,PARTICULAR,CHOQUE CON OTRO VEHÍCULO," CALLE 25 ENTRE CRAS 49 Y 50, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
11487,2012,35.0,FEMENINO,COLOMBIA ,CASADO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SIN DATO, CALLE 36 N° 32-78,URBANA,MOTOCICLISTA ,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO," CALLE 36 N° 32-78, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
14012,2013,33.0,FEMENINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,LA FLORESTA, CALLE 3A CON TRASNVERSAL 29,URBANA,PASAJERO,BUS,PÚBLICO,CAÍDA DEL OCUPANTE," CALLE 3A CON TRASNVERSAL 29, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
13339,2013,45.0,MASCULINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,LA FLORA, CALLE 44 NORTE CON 3RA E,URBANA,PEATÓN,NO APLICA,NO APLICA,ATROPELLO," CALLE 44 NORTE CON 3RA E, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
12774,2013,23.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,COMUNEROS, CALLE 48 CON 32A,URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE CON OTRO VEHÍCULO," CALLE 48 CON 32A, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
13997,2013,NS,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,CENTRO, CALLE 5 CON 10,URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE ," CALLE 5 CON 10, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
9068,2011,13.0,MASCULINO,COLOMBIA ,,VALLE DEL CAUCA,SANTIAGO DE CALI,LIBERTADORES, CALLE 5 CON CRA 22,URBANA,PEATÓN,SIN INFORMACIÓN,SIN INFORMACIÓN,ATROPELLO," CALLE 5 CON CRA 22, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
14139,2013,36.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SAN FERNANDO VIEJO, CALLE 5 KRA. 34,URBANA,PASAJERO,BUS,PÚBLICO,LESIÓN DENTRO DE VEHÍCULO," CALLE 5 KRA. 34, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
6410,2010,27.0,FEMENINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,VILLA COLOMBIA, CALLE 514 CON CRA 12 A - 02,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO," CALLE 514 CON CRA 12 A - 02, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
11316,2012,30.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,EL TEMPLETE, CALLE 6 CON CARRERA 36,URBANA,PASAJERO,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OBJETO FIJO O EN MOVIMIENTO ," CALLE 6 CON CARRERA 36, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
10312,2012,68.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,ALAMEDA, CALLE 6 NO 24-109,URBANA,PEATÓN,SIN INFORMACION ,,ATROPELLO," CALLE 6 NO 24-109, Cali, Valle del Cauca","Calle 6, Conjunto Residencial Alquería B, Comuna 17, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760001, Colombia","(3.3829112, -76.5426833, 0.0)",3.3829112,-76.5426833,0.0
13060,2013,22.0,MASCULINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,FLORALIA," CALLE 70 ENTRE 3RA Y 4TA NORTE DE CALI, BARRIO FLORALIA, ",URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE CON OTRO VEHÍCULO," CALLE 70 ENTRE 3RA Y 4TA NORTE DE CALI, BARRIO FLORALIA, , Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
14482,2014,41.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,EL PILOTO, CARRERA 1 CON CALLE 21,URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE ," CARRERA 1 CON CALLE 21, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
14011,2013,34.0,MASCULINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SAN LUIS II, CARRERA 1 CON CALLE 72.,URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE ," CARRERA 1 CON CALLE 72., Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
4548,2009,30.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,AUTOPISTA SUR ORIENTAL, CARRERA 23   CON CALLE   36A,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO," CARRERA 23   CON CALLE   36A, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
4217,2009,26.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,SANTA ELENA, CARRERA 29 CON CALLE  26B,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PÚBLICO,CHOQUE CON OTRO VEHÍCULO," CARRERA 29 CON CALLE  26B, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
12926,2013,26.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SAN FERNANDO VIEJO, CARRERA 36 CON CALLE 7,URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE CON OTRO VEHÍCULO," CARRERA 36 CON CALLE 7, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
14374,2014,39.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,UNION DE VIVIENDA POPULAR, CARRERA 42 A  CALLE 46,URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE ," CARRERA 42 A  CALLE 46, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
14082,2013,65.0,FEMENINO,COLOMBIA ,CASADO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,EL GUABAL," CARRERA 42 A CON CALLE 13 B, BARRIO EL GUABAL",URBANA,PEATÓN,NO APLICA ,NO APLICA ,ATROPELLO," CARRERA 42 A CON CALLE 13 B, BARRIO EL GUABAL, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
11717,2012,24.0,MASCULINO,COLOMBIA ,CASADO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,LA HACIENDA, CARRERA 70 CON CALLE 16,URBANA,PASAJERO,AUTOMOVIL ,PÚBLICO,CHOQUE CON OTRO VEHICULO," CARRERA 70 CON CALLE 16, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
14371,2014,23.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,EL INGENIO, CARRERA 85  CON CALLE 18,URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE ," CARRERA 85  CON CALLE 18, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
13398,2013,22.0,MASCULINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,LA BASE," CARRERA 9 CON CALLE 34, AFUERA DEL PARQUE DE LA CAÑA, ",URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CAÍDA DEL OCUPANTE," CARRERA 9 CON CALLE 34, AFUERA DEL PARQUE DE LA CAÑA, , Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
