ID,AÑO,MES,DIA MES,DIA SEMANA,EDAD,SEXO,ESTADO CIVIL,CIUDAD,PAIS,HORA,MUNICIPIOH,DEPARTAMENTOHECHO,BARRIOHECHO,DIRECCION ,ÁREA HECHO,CONDICION VICTIMA,VEHICULO1,SERVICIO,CLASE ACCIDENTE,Dir_Concatenada,localizacion,punto,lat,long,alt
276,2007,4,26,5,NS,F,CASADO (A),CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN DATO, C 23  K 16,Urbano,PEATON,,,ATROPELLO," C 23  K 16, Cali, Valle del Cauca","Calle 23, Pance, Cali, Sur, Valle del Cauca, 720001, Colombia","(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
658,2009,1,1,5,40,M,UNION LIBRE,CALI,COLOMBIA,21.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN DATO, CRA 32 N° D 30 A 52,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO," CRA 32 N° D 30 A 52, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
478,2008,3,24,2,62,M,SIN INFORMACION,CALI,COLOMBIA,10.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,1A934,Urbano,CONDUCTOR,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHICULO,"1A934, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
702,2009,3,14,7,32,M,CASADO (A),CALI,COLOMBIA,,SANTIAGO DE CALI,VALLE DEL CAUCA,MOJICA I,7G  CON CRA 28 E G,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,SIN INFORMACION,"7G  CON CRA 28 E G, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1794,2012,1,29,1,32,M,SOLTERO (A),CALI,COLOMBIA,4.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN DATO,ALLE 70 ENTRE KRA 1 Y 1A 6,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"ALLE 70 ENTRE KRA 1 Y 1A 6, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1496,2013,11,5,3,21,F,UNION LIBRE,CALI,COLOMBIA,17.0,SANTIAGO DE CALI,VALLE DEL CAUCA,VERSALLES,ANTIGUO SEGUROSOCIAL,Urbano,PASAJERO,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"ANTIGUO SEGUROSOCIAL, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1269,2011,9,4,1,41,M,SIN INFORMACION,CALI,COLOMBIA,22.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,AUTOPISTA SIMON BOLIVAR,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OBJETO FIJO O EN MOVIMIENTO,"AUTOPISTA SIMON BOLIVAR, Cali, Valle del Cauca","Calle 70, Alfonso López I, Comuna 7, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760006, Colombia","(3.4645726, -76.4838255, 0.0)",3.4645726,-76.4838255,0.0
1742,2012,4,19,5,51,M,CASADO (A),CALI,COLOMBIA,7.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,AUTOPISTA SIMON BOLIVAR -CRAS 48 Y 50,Urbano,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE CON OTRO VEHICULO,"AUTOPISTA SIMON BOLIVAR -CRAS 48 Y 50, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
241,2007,3,1,5,45,M,CASADO (A),CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,NUEVA FLORESTA,AUTOPISTA SUR CON 44,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,VOLCAMIENTO,"AUTOPISTA SUR CON 44, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1726,2011,8,22,2,34,M,UNION LIBRE,CALI,COLOMBIA,18.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SANTA MONICA,AUTOPISTA SUR ORIENTAL FRENTE AL NRO 33-33,Urbano,PASAJERO,BICICLETA,PARTICULAR,ATROPELLO,"AUTOPISTA SUR ORIENTAL FRENTE AL NRO 33-33, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1733,2012,1,25,4,84,M,CASADO (A),CALI,COLOMBIA,12.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,AV  2N CON CALLE  12N,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"AV  2N CON CALLE  12N, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1348,2013,4,16,3,22,M,SIN INFORMACION,CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,PRADOS DEL NORTE,AV  2N CON CALLE 31,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"AV  2N CON CALLE 31, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
2039,2012,10,23,3,60,M,SIN INFORMACION,CALI,COLOMBIA,22.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,AV  6N ENTRE CALLES  16N   Y   17 N,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"AV  6N ENTRE CALLES  16N   Y   17 N, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1527,2013,12,7,7,63,M,UNION LIBRE,CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,AV  COLOMBIA CON CALLE,Urbano,SIN INFORMACIÓN,NS/NR - SIN INFORMACIÓN,SIN INFORMACIÓN,NS/NR - SIN INFORMACIÓN,"AV  COLOMBIA CON CALLE, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
36,2012,7,6,6,75,F,CASADO (A),CALI,COLOMBIA,7.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,AV 15 OESTE CIB CL 9A,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"AV 15 OESTE CIB CL 9A, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1346,2013,4,14,1,33,M,SIN INFORMACION,CALI,COLOMBIA,21.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,AV 2 CON CALLE 75,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"AV 2 CON CALLE 75, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
572,2008,8,27,4,27,M,SIN INFORMACION,CALI,COLOMBIA,19.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SAN VICENTE,AV 2 N FENTE AL 28N-47,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO,"AV 2 N FENTE AL 28N-47, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
912,2010,3,30,3,33,M,SIN INFORMACION,CALI,COLOMBIA,22.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SD,AV 2 N N° 25-N 107,Urbano,PEATON,NO APLICA,SIN INFORMACION,ATROPELLO,"AV 2 N N° 25-N 107, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
655,2008,12,30,3,24,M,SIN INFORMACION,CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN DATO,AV 2 NORTE  22N 29,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OBJETO FIJO O EN MOVIMIENTO,"AV 2 NORTE  22N 29, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1313,2013,3,1,6,63,F,SEPARADO (A),CALI,COLOMBIA,18.0,SANTIAGO DE CALI,VALLE DEL CAUCA,CLINICA REMEDIOS,AV 2 NORTE CALLE 25,Urbano,CONDUCTOR,AUTOMÓVIL,PARTICULAR,NS/NR - SIN INFORMACIÓN,"AV 2 NORTE CALLE 25, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1531,2013,12,12,5,54,F,UNION LIBRE,CALI,COLOMBIA,15.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,AV 2 NORTE CON CALLE 13 NORTE,Urbano,SIN INFORMACIÓN,NS/NR - SIN INFORMACIÓN,SIN INFORMACIÓN,NS/NR - SIN INFORMACIÓN,"AV 2 NORTE CON CALLE 13 NORTE, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1265,2011,3,16,4,31,M,UNION LIBRE,CALI,COLOMBIA,22.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,AV 2AN ENTRE CALLES 61N Y 61AN FRENTE AL NRO 2AN-07,Urbano,CONDUCTOR,MICROBÚS,SERVICIO PÚBLICO,VOLCAMIENTO,"AV 2AN ENTRE CALLES 61N Y 61AN FRENTE AL NRO 2AN-07, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
2063,2007,12,31,2,35,M,SIN INFORMACION,CALI,COLOMBIA,21.0,SANTIAGO DE CALI,VALLE DEL CAUCA,VERSALLES,AV 2B C 30,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO,"AV 2B C 30, Cali, Valle del Cauca","Avenida 2B Norte, Ciudad Los Alamos, Comuna 2, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 750004, Colombia","(3.4832731, -76.508106, 0.0)",3.4832731,-76.508106,0.0
